Task,count
"svchost (8012,D,0) DS_Token_DB: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
 lgposV2[] = 00000008:0001:0000 - 00000008:0006:0367 - 00000008:0007:0000 - 00000008:0007:0000 (00000000:0000:0000)
cReInits = 2
 
 
Internal Timing Sequence: 
[1] 0.001155 +J(0) +M(C:0K, Fs:149, WS:584K # 584K, PF:3672K # 3672K, P:3672K)
[2] 0.000413 +J(0) +M(C:8K, Fs:231, WS:916K # 916K, PF:336K # 336K, P:336K)
[3] 0.000025 +J(0) +M(C:0K, Fs:5, WS:16K # 16K, PF:68K # 68K, P:68K)
[4] 0.000136 +J(0) +M(C:0K, Fs:30, WS:120K # 120K, PF:184K # 184K, P:184K)
[5] 0.001814 +J(0) +M(C:0K, Fs:11, WS:44K # 44K, PF:16K # 16K, P:16K)
[6] 0.009419 +J(0) +M(C:0K, Fs:65, WS:256K # 256K, PF:52K # 52K, P:52K)
[7] 0.005258 -0.000428 (2) WT +J(0) +M(C:0K, Fs:43, WS:172K # 172K, PF:68K # 68K, P:68K)
[8] 0.030188 -0.003888 (12) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:24336/16) +M(C:0K, Fs:131, WS:308K # 308K, PF:220K # 224K, P:220K)
[9] 0.000702 +J(0) +M(C:0K, Fs:5, WS:20K # 20K, PF:8K # 4K, P:8K)
[10] 0.001118 -0.000687 (1) WT +J(0) +M(C:0K, Fs:0, WS:-60K # 0K, PF:-60K # 0K, P:-60K)
[11] 0.000032 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[12] 0.000991 +J(0)
[13] 0.065112 -0.000550 (2) CM -0.015788 (21) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:66, WS:140K # 152K, PF:228K # 236K, P:228K)
[14] 0.000023 +J(0)
[15] 0.000015 +J(0)
[16] 0.000462 -0.000133 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",1
"svchost (8012,U,98) DS_Token_DB: The database engine has successfully completed recovery steps.",1
Product: Maxx Audio Installer (x64) -- Installation operation completed successfully.,1
"Video.UI (8472,P,98) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database engine (10.00.22000.0000) is starting a new instance (0).",1
"Video.UI (8472,R,98) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database engine is initiating recovery steps.",1
"Video.UI (8472,R,98) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
"Video.UI (8472,R,98) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database engine has finished replaying logfile C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\edb.log. 
 
Processing Stats: 
[1] 0.040185 -0.001190 (114) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:1419677/1068) +M(C:0K, Fs:2804, WS:2072K # 2004K, PF:540K # 464K, P:540K). 
Log record of type 'AttachDB ' was seen most frequently (107 times)",1
"Video.UI (8472,U,98) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database engine has successfully completed recovery steps.",1
"Video.UI (8472,D,0) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
 lgposV2[] = 00000002:0001:0000 - 00000002:015F:03B7 - 00000002:0160:0000 - 00000002:0160:0000 (00000000:0000:0000)
cReInits = 107
 
 
Internal Timing Sequence: 
[1] 0.004746 +J(0) +M(C:0K, Fs:169, WS:640K # 640K, PF:2656K # 2504K, P:2656K)
[2] 0.000283 +J(0) +M(C:0K, Fs:88, WS:352K # 352K, PF:280K # 196K, P:280K)
[3] 0.000014 +J(0) +M(C:0K, Fs:3, WS:12K # 12K, PF:64K # 64K, P:64K)
[4] 0.000120 +J(0) +M(C:0K, Fs:32, WS:124K # 124K, PF:152K # 152K, P:152K)
[5] 0.002116 +J(0) +M(C:0K, Fs:101, WS:400K # 400K, PF:52K # 52K, P:52K)
[6] 0.001566 +J(0) +M(C:0K, Fs:48, WS:192K # 192K, PF:28K # 28K, P:28K)
[7] 0.014683 -0.000009 (5) WT +J(0) +M(C:0K, Fs:660, WS:2444K # 2444K, PF:2096K # 2100K, P:2096K)
[8] 0.043519 -0.001194 (118) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:1419677/1068) +M(C:0K, Fs:2984, WS:2704K # 2704K, PF:912K # 912K, P:912K)
[9] 0.000487 +J(0) +M(C:0K, Fs:11, WS:40K # 40K, PF:8K # 4K, P:8K)
[10] 0.001541 -0.000003 (3) WT +J(0) +M(C:0K, Fs:30, WS:-1932K # 112K, PF:-2012K # 32K, P:-2012K)
[11] 0.000021 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[12] 0.008200 -0.008150 (1) WT +J(0) +M(C:0K, Fs:135, WS:540K # 0K, PF:296K # 0K, P:296K)
[13] 0.023020 -0.000316 (2) CM -0.015788 (22) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:1021, WS:1920K # 2468K, PF:268K # 580K, P:268K)
[14] 0.000012 +J(0)
[15] 0.000009 +J(0)
[16] 0.000163 -0.000001 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",1
"Video.UI (8472,D,50) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
"Video.UI (8472,D,50) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database engine attached a database (1, C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb). (Time=0 seconds) 
 
Saved Cache: 0 0 
Additional Data: lgposAttach = 00000002:0162:0268,
dbv = 1568.20.0 (8920) 
 
Internal Timing Sequence: 
[1] 0.000002 +J(0)
[2] 0.000646 -0.000001 (1) WT +J(0) +M(C:0K, Fs:20, WS:16K # 0K, PF:8K # 0K, P:8K)
[3] 0.002162 -0.000842 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:22, WS:76K # 0K, PF:44K # 0K, P:44K)
[4] 0.000218 +J(0)
[5] -
[6] -
[7] -
[8] -
[9] 0.006513 -0.000250 (3) CM -0.005530 (1) WT +J(CM:3, PgRf:3, Rd:14/3, Dy:0/0, Lg:0/0) +M(C:0K, Fs:159, WS:604K # 0K, PF:408K # 0K, P:408K)
[10] 0.001002 -0.000835 (4) CM +J(CM:4, PgRf:23, Rd:0/4, Dy:0/0, Lg:0/0) +M(C:0K, Fs:113, WS:452K # 0K, PF:36K # 0K, P:36K)
[11] 0.000088 -0.000003 (1) CM +J(CM:1, PgRf:40, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:6, WS:16K # 0K, PF:64K # 0K, P:64K)
[12] 0.000011 +J(CM:0, PgRf:2, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[13] 0.000046 +J(CM:0, PgRf:54, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:5, WS:20K # 0K, PF:0K # 0K, P:0K)
[14] 0.000001 +J(0)
[15] 0.0 +J(0)
[16] 0.000004 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0).",1
"Video.UI (8472,D,2) {3A29EAFD-AD44-48ED-8776-4E48E06136DC}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\tmp.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
Successfully scheduled Software Protection service for re-start at 2122-03-04T15:12:16Z. Reason: RulesEngine.,1
"Fault bucket 1295206498368557306, type 5
Event Name: MoAppHang
Response: Not available
Cab Id: 0

Problem signature:
P1: 4DF9E0F8.Netflix_6.97.752.0_x64__mcm4njqhnhss8
P2: praid:Netflix.App
P3: 10.0.22000.1
P4: 0974f668
P5: 2fc5
P6: 2097152
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.e9a8d636-8eb7-45a2-9060-82e118be2f92.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.85cad6d1-aa40-4bfc-8f44-c56141dacb63.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c76da95a-2615-4510-81ca-f40724212252.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.891a5e94-4873-48ae-8f44-608413b72c41.tmp.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppHang_4DF9E0F8.Netflix_2adbb59fdd10abc9cece6067a55dd6311a5aeed2_6268f156_2f5c38df-92e6-46ab-82da-eaf557d74714

Analysis symbol: 
Rechecking for solution: 0
Report Id: 0ccc5d70-1b2d-44f8-ae42-88179c7c4172
Report Status: 268435456
Hashed bucket: 34261f658fbc613821f97f72ae0910fa
Cab Guid: 0",1
"The program WWAHost.exe version 10.0.22000.1 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 2f78
 Start Time: 01d842b9ab399ed6
 Termination Time: 4294967295
 Application Path: C:\Windows\System32\WWAHost.exe
 Report Id: 0ccc5d70-1b2d-44f8-ae42-88179c7c4172
 Faulting package full name: 4DF9E0F8.Netflix_6.97.752.0_x64__mcm4njqhnhss8
 Faulting package-relative application ID: Netflix.App
 Hang type: Quiesce
",1
Successfully scheduled Software Protection service for re-start at 2122-03-09T02:39:48Z. Reason: RulesEngine.,1
The current time is 2022-04-02T02:40:43Z : 2022-04-02T02:40:43Z.,1
Successfully scheduled Software Protection service for re-start at 2122-03-09T02:41:19Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2122-03-09T02:45:27Z. Reason: RulesEngine.,1
"svchost (16204,P,98) DS_Token_DB: The database engine (10.00.22000.0000) is starting a new instance (0).",1
"svchost (16204,R,98) DS_Token_DB: The database engine is initiating recovery steps.",1
"svchost (16204,R,98) DS_Token_DB: The database engine has finished replaying logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSS.log. 
 
Processing Stats: 
[1] 0.012620 -0.002996 (9) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:32448/21) +M(C:0K, Fs:91, WS:160K # 96K, PF:132K # 68K, P:132K). 
Log record of type 'AttachDB ' was seen most frequently (3 times)",1
"svchost (16204,U,98) DS_Token_DB: The database engine has successfully completed recovery steps.",1
"svchost (16204,D,0) DS_Token_DB: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
 lgposV2[] = 00000007:0001:0000 - 00000007:0008:0367 - 00000007:0009:0000 - 00000007:0009:0000 (00000000:0000:0000)
cReInits = 3
 
 
Internal Timing Sequence: 
[1] 0.001365 +J(0) +M(C:0K, Fs:141, WS:548K # 548K, PF:2796K # 2796K, P:2796K)
[2] 0.000562 +J(0) +M(C:8K, Fs:182, WS:720K # 720K, PF:1224K # 1224K, P:1224K)
[3] 0.000036 +J(0) +M(C:0K, Fs:11, WS:40K # 40K, PF:68K # 68K, P:68K)
[4] 0.000165 +J(0) +M(C:0K, Fs:67, WS:268K # 268K, PF:172K # 172K, P:172K)
[5] 0.002631 +J(0) +M(C:0K, Fs:26, WS:104K # 104K, PF:24K # 24K, P:24K)
[6] 0.005774 +J(0) +M(C:0K, Fs:67, WS:264K # 264K, PF:56K # 56K, P:56K)
[7] 0.002811 -0.000414 (2) WT +J(0) +M(C:0K, Fs:42, WS:168K # 168K, PF:64K # 64K, P:64K)
[8] 0.025742 -0.003869 (13) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:32448/21) +M(C:0K, Fs:148, WS:312K # 312K, PF:220K # 224K, P:220K)
[9] 0.001023 +J(0) +M(C:0K, Fs:4, WS:16K # 16K, PF:4K # 0K, P:4K)
[10] 0.002526 -0.001951 (1) WT +J(0) +M(C:0K, Fs:17, WS:4K # 64K, PF:8K # 68K, P:8K)
[11] 0.000035 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[12] 0.001013 +J(0)
[13] 0.025806 -0.000333 (2) CM -0.002731 (21) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:54, WS:96K # 108K, PF:164K # 172K, P:164K)
[14] 0.000030 +J(0)
[15] 0.000017 +J(0)
[16] 0.000501 -0.000113 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",1
Starting session 0 - ‎2021‎-‎11‎-‎03T05:37:33.635247200Z.,1
Windows Installer installed the product. Product Name: Maxx Audio Installer (x64). Product Version: 2.7.9326.0. Product Language: 1033. Manufacturer: Waves Audio Ltd.. Installation success or error status: 0.,1
"svchost (8012,R,98) DS_Token_DB: The database engine has finished replaying logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSS.log. 
 
Processing Stats: 
[1] 0.016178 -0.002026 (8) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:24336/16) +M(C:0K, Fs:76, WS:164K # 100K, PF:136K # 72K, P:136K). 
Log record of type 'AttachDB ' was seen most frequently (2 times)",1
"Fault bucket 1977934899119441016, type 5
Event Name: RADAR_PRE_LEAK_64
Response: Not available
Cab Id: 0

Problem signature:
P1: mcshield.exe
P2: 22.2.0.543
P3: 10.0.22000.2.0.0
P4: 
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Temp\RDR59DC.tmp\empty.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.5292b244-f0f0-4e48-88a9-6caff86c01ba.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7efd1350-f063-4753-a166-6c1f13834a9d.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.37c1d418-4105-47f3-a95b-7d124fa591e3.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b1f75ef4-9054-4207-a701-d49a4b012d91.tmp.txt

These files may be available here:


Analysis symbol: 
Rechecking for solution: 0
Report Id: 213450ad-6ec3-48a6-bd8b-8ac0e1da99af
Report Status: 268435456
Hashed bucket: 1479d48e278bfefd5b73094faadcc478
Cab Guid: 0",1
Successfully scheduled Software Protection service for re-start at 2122-03-04T09:18:02Z. Reason: RulesEngine.,1
"SearchIndexer (10696,P,98) Windows: The database engine (10.00.22000.0000) is starting a new instance (0).",1
"SearchIndexer (10696,R,98) Windows: The database engine is initiating recovery steps.",1
"SearchIndexer (10696,R,98) Windows: The database engine has finished replaying logfile C:\ProgramData\Microsoft\Search\Data\Applications\Windows\edb0740E.jtx. 
 
Processing Stats: 
[1] 0.276628 -0.088260 (29) CM -0.133853 (6) WT +J(CM:29, PgRf:310, Rd:0/29, Dy:27/590, Lg:1025463/13730) +M(C:0K, Fs:668, WS:1768K # 1676K, PF:1592K # 1496K, P:1592K). 
Log record of type 'FDelete  ' was seen most frequently (2021 times)",1
"SearchIndexer (10696,R,98) Windows: The database engine has finished replaying logfile C:\ProgramData\Microsoft\Search\Data\Applications\Windows\edb.jtx. 
 
Processing Stats: 
[1] 0.049456 -0.039248 (6) WT +J(CM:30, PgRf:1317, Rd:19/30, Dy:30/3006, Lg:502748/3105) +M(C:0K, Fs:298, WS:1156K # 1156K, PF:796K # 796K, P:796K). 
Log record of type 'Delete   ' was seen most frequently (412 times)",1
"SearchIndexer (10696,U,98) Windows: The database engine has successfully completed recovery steps.",1
"SearchIndexer (10696,D,0) Windows: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
 lgposV2[] = 0000740E:0001:0000 - 0000740E:00FE:02DD - 0000740F:007D:0000 - 0000740F:007D:0000 (00000000:0000:0000)
cReInits = 1
 
 
Internal Timing Sequence: 
[1] 0.007640 +J(0) +M(C:0K, Fs:326, WS:1276K # 1276K, PF:5440K # 5440K, P:5440K)
[2] 0.000578 +J(0) +M(C:0K, Fs:118, WS:464K # 464K, PF:436K # 436K, P:436K)
[3] 0.000028 +J(0) +M(C:0K, Fs:4, WS:16K # 16K, PF:64K # 64K, P:64K)
[4] 0.000593 +J(0) +M(C:0K, Fs:24, WS:96K # 96K, PF:364K # 364K, P:364K)
[5] 0.002118 +J(0) +M(C:0K, Fs:12, WS:48K # 48K, PF:16K # 16K, P:16K)
[6] 0.030646 -0.000001 (1) WT +J(0) +M(C:0K, Fs:28, WS:108K # 108K, PF:20K # 20K, P:20K)
[7] 0.077771 -0.041642 (2) WT +J(0) +M(C:0K, Fs:282, WS:1128K # 1128K, PF:1024K # 1024K, P:1024K)
[8] 0.381983 -0.088260 (29) CM -0.150805 (9) WT +J(CM:29, PgRf:310, Rd:0/29, Dy:27/590, Lg:1025463/13730) +M(C:0K, Fs:973, WS:2880K # 2880K, PF:2452K # 2452K, P:2452K)
[9] 0.133045 -0.103780 (12) WT +J(CM:30, PgRf:1317, Rd:30/30, Dy:30/3006, Lg:502748/3105) +M(C:0K, Fs:334, WS:1264K # 1264K, PF:1200K # 1200K, P:1200K) + 1 lgens
[10] 0.001115 +J(0) +M(C:0K, Fs:0, WS:-1020K # 0K, PF:-1020K # 0K, P:-1020K)
[11] 0.000052 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[12] 0.112223 -0.000005 (57) CM -0.107760 (22) WT +J(CM:57, PgRf:0, Rd:0/57, Dy:0/0, Lg:0/0) +M(C:0K, Fs:410, WS:24K # 0K, PF:8K # 0K, P:8K)
[13] 0.180897 -0.002238 (2) CM -0.082584 (19) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:309, WS:-2712K # 0K, PF:-2752K # 0K, P:-2752K)
[14] 0.000028 +J(0)
[15] 0.000041 +J(0)
[16] 0.000498 +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",1
"SearchIndexer (10696,D,50) Windows: The database engine attached a database (1, C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb). (Time=0 seconds) 
 
Saved Cache: 0 0 
Additional Data: lgposAttach = 0000740F:007F:0268,
dbv = 1568.200.440 (9400) 
 
Internal Timing Sequence: 
[1] 0.000004 +J(0)
[2] 0.025965 +J(0) +M(C:0K, Fs:24, WS:32K # 0K, PF:32K # 0K, P:32K)
[3] 0.173092 -0.033273 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:21, WS:48K # 0K, PF:52K # 0K, P:52K)
[4] 0.000505 +J(0)
[5] -
[6] -
[7] -
[8] -
[9] 0.053678 -0.007338 (3) CM -0.045186 (1) WT +J(CM:3, PgRf:3, Rd:14/3, Dy:0/0, Lg:54/1) +M(C:0K, Fs:38, WS:148K # 0K, PF:736K # 0K, P:736K)
[10] 0.001863 -0.001460 (4) CM +J(CM:4, PgRf:23, Rd:0/4, Dy:0/0, Lg:0/0) +M(C:0K, Fs:42, WS:168K # 0K, PF:64K # 0K, P:64K)
[11] 0.000539 -0.000382 (1) CM +J(CM:1, PgRf:40, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:9, WS:36K # 0K, PF:32K # 0K, P:32K)
[12] 0.000164 +J(CM:0, PgRf:2, Rd:0/0, Dy:0/0, Lg:0/0)
[13] 0.000789 +J(CM:0, PgRf:42, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:5, WS:20K # 0K, PF:0K # 0K, P:0K)
[14] 0.000002 +J(0)
[15] 0.0 +J(0)
[16] 0.000019 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0).",1
Successfully scheduled Software Protection service for re-start at 2122-03-04T09:20:05Z. Reason: RulesEngine.,1
"Video.UI (1308,P,98) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database engine (10.00.22000.0000) is starting a new instance (0).",1
"Video.UI (1308,R,98) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database engine is initiating recovery steps.",1
"Video.UI (1308,R,98) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
Ending a Windows Installer transaction: C:\Windows\System32\DriverStore\FileRepository\hdxma7.inf_amd64_e5628190db6d8c2e\Maxx Audio Installer (x64).msi. Client Process Id: 2304.,1
"Video.UI (1308,R,98) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database engine has finished replaying logfile C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\edb.log. 
 
Processing Stats: 
[1] 0.191863 -0.035980 (115) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:1407509/1060) +M(C:0K, Fs:2295, WS:1508K # 1440K, PF:616K # 552K, P:616K). 
Log record of type 'AttachDB ' was seen most frequently (106 times)",1
"Video.UI (1308,U,98) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database engine has successfully completed recovery steps.",1
"Video.UI (1308,D,0) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
 lgposV2[] = 00000002:0001:0000 - 00000002:015C:03B7 - 00000002:015D:0000 - 00000002:015D:0000 (00000000:0000:0000)
cReInits = 106
 
 
Internal Timing Sequence: 
[1] 0.035990 +J(0) +M(C:0K, Fs:233, WS:708K # 708K, PF:2668K # 2736K, P:2668K)
[2] 0.000726 +J(0) +M(C:0K, Fs:93, WS:372K # 372K, PF:308K # 240K, P:308K)
[3] 0.000030 +J(0) +M(C:0K, Fs:3, WS:12K # 12K, PF:64K # 64K, P:64K)
[4] 0.000382 +J(0) +M(C:0K, Fs:37, WS:144K # 144K, PF:176K # 176K, P:176K)
[5] 0.026178 +J(0) +M(C:0K, Fs:263, WS:1048K # 1048K, PF:144K # 144K, P:144K)
[6] 0.015302 +J(0) +M(C:0K, Fs:48, WS:192K # 192K, PF:28K # 28K, P:28K)
[7] 0.043951 -0.000016 (5) WT +J(0) +M(C:0K, Fs:574, WS:2292K # 2292K, PF:2112K # 2112K, P:2112K)
[8] 0.201455 -0.035993 (119) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:1407509/1060) +M(C:0K, Fs:2454, WS:2064K # 2064K, PF:992K # 1000K, P:992K)
[9] 0.000684 +J(0) +M(C:0K, Fs:4, WS:16K # 16K, PF:0K # 0K, P:0K)
[10] 0.001808 -0.000004 (4) WT +J(0) +M(C:0K, Fs:0, WS:-2044K # 0K, PF:-2044K # 0K, P:-2044K)
[11] 0.000029 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[12] 0.024434 -0.024345 (1) WT +J(0) +M(C:0K, Fs:18, WS:72K # 0K, PF:36K # 0K, P:36K)
[13] 0.224176 -0.000595 (2) CM -0.209541 (24) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:729, WS:632K # 716K, PF:28K # 64K, P:28K)
[14] 0.000022 +J(0)
[15] 0.000016 +J(0)
[16] 0.000368 -0.000002 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",1
"Video.UI (1308,D,50) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
"Video.UI (1308,D,50) {6D968185-1E85-43F6-AD4F-DBD53A3E4C85}: The database engine attached a database (1, C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb). (Time=0 seconds) 
 
Saved Cache: 0 0 
Additional Data: lgposAttach = 00000002:015F:0268,
dbv = 1568.20.0 (8920) 
 
Internal Timing Sequence: 
[1] 0.000004 +J(0)
[2] 0.043625 -0.000005 (1) WT +J(0) +M(C:0K, Fs:24, WS:32K # 0K, PF:8K # 0K, P:8K)
[3] 0.026023 -0.022918 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:15, WS:52K # 0K, PF:20K # 0K, P:20K)
[4] 0.000539 +J(0)
[5] -
[6] -
[7] -
[8] -
[9] 0.057807 -0.000558 (3) CM -0.055007 (1) WT +J(CM:3, PgRf:3, Rd:14/3, Dy:0/0, Lg:0/0) +M(C:0K, Fs:316, WS:1240K # 0K, PF:504K # 0K, P:504K)
[10] 0.003622 -0.002566 (4) CM +J(CM:4, PgRf:23, Rd:0/4, Dy:0/0, Lg:0/0) +M(C:0K, Fs:39, WS:152K # 0K, PF:48K # 0K, P:48K)
[11] 0.001207 -0.000017 (1) CM +J(CM:1, PgRf:40, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:20, WS:72K # 0K, PF:72K # 0K, P:72K)
[12] 0.000051 +J(CM:0, PgRf:2, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[13] 0.000209 +J(CM:0, PgRf:54, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:12, WS:48K # 0K, PF:0K # 0K, P:0K)
[14] 0.000003 +J(0)
[15] 0.000002 +J(0)
[16] 0.000023 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K).",1
